CASES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Number,,,,Likely source,,,,,,,,
,Introduced,Community,Total,,Overseas,ACT,NSW,VIC,SA,TAS,WA,NT,Community
,,,,,,,,,,,,,
30-Apr,0,0,0,,,,,,,,,,
29-Apr,0,1,1,,,,,,,,,,1
28-Apr,0,0,0,,,,,,,,,,
27-Apr,0,3,3,,,,,,,,,,3
26-Apr,0,3,3,,,,,,,,,,3
25-Apr,0,2,2,,,,,,,,,,2
24-Apr,0,2,2,,,,,,,,,,2
23-Apr,0,2,2,,,,,,,,,,2
22-Apr,0,0,0,,,,,,,,,,
21-Apr,0,6,6,,,,,,,,,,6
20-Apr,0,0,0,,,,,,,,,,
19-Apr,0,4,4,,,,,,,,,,4
18-Apr,0,8,8,,,,,,,,,,8
17-Apr,0,6,6,,,,,,,,,,6
16-Apr,0,5,5,,,,,,,,,,5
15-Apr,0,5,5,,,,,,,,,,5
14-Apr,0,11,11,,,,,,,,,,11
13-Apr,0,7,7,,,,,,,,,,7
12-Apr,0,12,12,,,,,,,,,,12
11-Apr,0,9,9,,,,,,,,,,9
10-Apr,0,13,13,,,,,,,,,,13
9-Apr,0,10,10,,,,,,,,,,10
8-Apr,0,9,9,,,,,,,,,,9
7-Apr,0,13,13,,,,,,,,,,13
6-Apr,0,14,14,,,,,,,,,,14
5-Apr,0,9,9,,,,,,,,,,9
4-Apr,0,27,27,,,,,,,,,,27
3-Apr,0,39,39,,,,,,,,,,39
2-Apr,0,57,57,,,,,,,,,,57
1-Apr,0,40,40,,,,,,,,,,40
31-Mar,0,55,55,,,,,,,,,,55
30-Mar,0,33,33,,,,,,,,,,33
29-Mar,0,31,31,,,,,,,,,,31
28-Mar,0,70,70,,,,,,,,,,70
27-Mar,0,62,62,,,,,,,,,,62
26-Mar,0,50,50,,,,,,,,,,50
25-Mar,0,46,46,,,,,,,,,,46
24-Mar,0,78,78,,,,,,,,,,78
23-Mar,0,60,60,,,,,,,,,,60
22-Mar,0,38,38,,,,,,,,,,38
21-Mar,0,37,37,,,,,,,,,,37
20-Mar,0,40,40,,,,,,,,,,40
19-Mar,0,50,50,,,,,,,,,,50
18-Mar,0,16,16,,,,,,,,,,16
17-Mar,0,10,10,,,,,,,,,,10
16-Mar,0,7,7,,,,,,,,,,7
15-Mar,0,15,15,,,,,,,,,,15
14-Mar,0,11,11,,,,,,,,,,11
13-Mar,0,35,35,,,,,,,,,,35
12-Mar,0,7,7,,,,,,,,,,7
11-Mar,0,2,2,,,,,,,,,,2
10-Mar,0,3,3,,,,,,,,,,3
9-Mar,0,0,0,,,,,,,,,,
8-Mar,0,1,1,,,,,,,,,,1
