outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,iq_compliance,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,7,7.006,7,1.18657658834144,100,0,0,0.7,0.3,39,0,10460,cluster,0.0192,3,2.68,3,0.607947366142827,10,8.613,8,5.80734285194184,True,4,2.73413897280967,3,0.620084041360688,99.3000000000001,0.7,0
True,7,6.837,7,1.12624642063804,100,0,0,0.7,0.3,40,0,10460,cluster,0.0192,3,2.64,3,0.65299310869258,11,8.945,8,6.02826467567575,True,4,2.69939271255061,3,0.621575342581732,98.8000000000001,1.2,0
True,7,6.791,7,1.059867444542,100,0,0,0.7,0.3,41,0,10460,cluster,0.0192,3,2.636,3,0.620889684243505,11,9.08,8,6.22170394666927,True,4,2.60865191146881,3,0.609090750888796,99.4000000000001,0.6,0
True,6,6.628,6,1.07871034110182,100,0,0,0.7,0.3,42,0,10460,cluster,0.0192,3,2.597,3,0.616920578356728,11,8.826,8,6.18996962835845,True,4,2.65485829959514,3,0.596299893440328,98.8000000000001,1.2,0
True,6,6.52,6,0.996794863550169,100,0,0,0.7,0.3,43,0,10460,cluster,0.0192,3,2.569,3,0.615823838447327,11,8.954,8,6.27247032675325,True,4,2.65925176946411,3,0.583015283971346,98.9000000000001,1.1,0
True,6,6.383,6,0.948847195284889,100,0,0,0.7,0.3,44,0,10460,cluster,0.0192,3,2.559,3,0.602095507374038,12,8.996,8,5.94541705854181,True,4,2.59879032258064,3,0.585715846472992,99.2000000000001,0.8,0
True,6,6.316,6,0.946648826122971,100,0,0,0.7,0.3,45,0,10460,cluster,0.0192,3,2.531,3,0.645785568126139,12,8.975,8,6.41282893893171,True,4,2.59757330637007,3,0.566894379534953,98.9000000000001,1.1,0
True,6,6.263,6,0.917513487639282,100,0,0,0.7,0.3,46,0,10460,cluster,0.0192,3,2.513,3,0.632321911687393,12,9.149,8,6.21005627993821,True,4,2.59233097880928,3,0.574694860849417,99.1000000000001,0.9,0
True,6,6.148,6,0.849762319710635,100,0,0,0.7,0.3,47,0,10460,cluster,0.0192,2,2.477,2,0.599559004602549,4,8.802,7,6.21617213403876,True,4,2.56394763343404,3,0.546147659648852,99.3000000000001,0.7,0
True,6,6.096,6,0.87680328466538,100,0,0,0.7,0.3,48,0,10460,cluster,0.0192,2,2.472,2,0.578978410651036,4,8.932,8,6.21187379137728,True,4,2.55161943319838,3,0.556855879517784,98.8000000000001,1.2,0
