dsct,dsct_day,dsct_day_av,dsct_day_md,dsct_day_sd,dsct_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,sct,sct_day,sct_day_av,sct_day_md,sct_day_sd,sct_prob,sct_control_prob,sct_contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,vax_proportion,vax_efficacy,vevp
False,,42.2235294117647,43,8.84246856304,0.2,,22.5547619047619,21,10.3819601411237,,3.84444444444444,3.33333333333333,3.23450859565703,False,,28.9525139664804,28,12.2970897153628,35.8,64.1000000000001,0.1,0.1,1,0,6260,cluster,0.0192,0.2,0.7,0.9
False,,41.5271867612293,42,8.7215172829556,0.1,42,18.6637168141593,17,9.23755061407159,3,3.3677482792527,2.66666666666667,2.94800269761945,True,51,27.8139931740614,26,12.8482031024735,58.6000000000001,41.4,0,0.1,2,0,6260,cluster,0.0192,0.2,0.7,0.9
True,52,39.6745362563238,39,9.29579366855143,0,25,15.2085253456221,13,8.40679838676514,3.33333333333333,3.50883256528418,2.66666666666667,2.98022992805766,True,31,24.7913385826772,22,12.9540791432531,76.2000000000001,23.8,0,0.1,3,0,6260,cluster,0.0192,0.2,0.7,0.9
True,46,38.4375917767988,38,9.43916277573256,0,19,11.7660695468915,10,6.83063725506133,3.33333333333333,3.33473832103969,2.66666666666667,2.73237415684162,True,24,22.8067915690866,20.5,12.4558762506703,85.4000000000001,14.6,0,0.1,4,0,6260,cluster,0.0192,0.2,0.7,0.9
True,40,36.5006485084306,36,9.53733531021034,0,15,9.77619532044761,9,4.7101935918748,3.66666666666667,3.60155985079688,3,2.9605846433301,True,20,20.3766519823789,17,12.0533498835937,90.8000000000001,9.20000000000001,0,0.1,5,0,6260,cluster,0.0192,0.2,0.7,0.9
True,39,36.6953955135773,36,10.0528363335957,0,9,8.2251256281407,8,3.53213131372312,3,3.70251256281407,3,2.65549362548895,True,18,18.3149522799576,16,11.3751911022066,94.3000000000001,5.7,0,0.1,6,0,6260,cluster,0.0192,0.2,0.7,0.9
True,36,34.5717566016074,34,9.5606868939084,0,8,7.485,7,3.19715107556712,3.5,4.06366666666667,3.33333333333333,2.73444121856327,True,15,16.7640332640333,13,11.6796923619765,96.2000000000001,3.8,0,0.1,7,0,6260,cluster,0.0192,0.2,0.7,0.9
True,34,33.1264994547437,33,9.21944545788852,0,7,6.732,6,2.39210702101724,3.66666666666667,4.305,4,2.68613259786879,True,12,14.3040816326531,11,9.9784146461489,98.0000000000001,2,0,0.1,8,0,6260,cluster,0.0192,0.2,0.7,0.9
True,32,31.9431330472103,31,9.16409688562269,0,6,6.226,6,2.08252827111662,4,4.38133333333333,4,2.58007889629583,True,11,13.0575757575758,10,9.66257584191847,99.0000000000001,1,0,0.1,9,0,6260,cluster,0.0192,0.2,0.7,0.9
True,30,30.6585365853658,29,9.38478997666637,0,6,5.873,6,1.85387998532807,4.33333333333333,4.74533333333333,4.33333333333333,2.65267797601677,True,9,12.0661985957874,9,9.6850933911172,99.7000000000001,0.3,0,0.1,10,0,6260,cluster,0.0192,0.2,0.7,0.9
