location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-04-17,1,1,2261,86484,237,1060,5,0,62
QLD,2020-04-18,0,0,2214,88698,237,1060,5,0,63
QLD,2020-04-19,0,0,2223,90921,237,1060,5,0,64
QLD,2020-04-20,1,1,2144,93065,238,1061,5,0,65
QLD,2020-04-21,0,0,1998,95063,238,1061,5,0,66
QLD,2020-04-22,0,0,1951,97014,238,1061,5,0,67
QLD,2020-04-23,0,1,1958,98972,238,1062,5,0,68
QLD,2020-04-24,0,0,2046,101018,238,1062,5,0,69
QLD,2020-04-25,0,0,2183,103201,238,1062,5,0,70
QLD,2020-04-26,0,1,2254,105455,238,1063,5,0,71
QLD,2020-04-27,0,0,2361,107816,238,1063,5,0,72
QLD,2020-04-28,0,1,2432,110248,238,1064,5,0,73
QLD,2020-04-29,1,1,2459,112707,239,1065,5,0,74
QLD,2020-04-30,0,1,2467,115174,239,1066,5,0,75
QLD,2020-05-01,0,0,2206,117380,239,1066,5,0,76
QLD,2020-05-02,1,3,2471,119851,240,1069,5,0,77
QLD,2020-05-03,0,0,2701,122552,240,1069,5,0,78
QLD,2020-05-04,0,0,2843,125395,240,1069,5,0,79
QLD,2020-05-05,0,1,2955,128350,240,1070,5,0,80
QLD,2020-05-06,0,0,2967,131317,240,1070,5,0,81
QLD,2020-05-07,0,0,2927,134244,240,1070,5,0,82
QLD,2020-05-08,0,0,3256,137500,240,1070,5,0,83
QLD,2020-05-09,0,0,3006,140506,240,1070,5,0,84
QLD,2020-05-10,0,0,2862,143368,240,1070,5,0,85
QLD,2020-05-11,0,0,2764,146132,240,1070,5,0,86
QLD,2020-05-12,0,0,2774,148906,240,1070,5,0,87
QLD,2020-05-13,0,1,2872,151778,240,1071,5,0,88
QLD,2020-05-14,0,2,2980,154758,240,1073,5,0,89
QLD,2020-05-15,0,0,3218,157976,240,1073,5,0,90
