location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,70,70,0,9,0,0,0
QLD,2020-02-16,0,1,69,139,0,10,0,0,1
QLD,2020-02-17,0,0,72,211,0,10,0,0,2
QLD,2020-02-18,0,0,73,284,0,10,0,0,3
QLD,2020-02-19,0,1,76,360,0,11,0,0,4
QLD,2020-02-20,0,2,78,438,0,13,0,0,5
QLD,2020-02-21,0,2,88,526,0,15,0,0,6
QLD,2020-02-22,0,1,96,622,0,16,0,0,7
QLD,2020-02-23,0,1,116,738,0,17,0,0,8
QLD,2020-02-24,0,0,129,867,0,17,0,0,9
QLD,2020-02-25,0,1,141,1008,0,18,0,0,10
QLD,2020-02-26,0,1,151,1159,0,19,0,0,11
QLD,2020-02-27,0,2,164,1323,0,21,0,0,12
QLD,2020-02-28,0,0,217,1540,0,21,0,0,13
QLD,2020-02-29,0,0,276,1816,0,21,0,0,14
QLD,2020-03-01,0,2,339,2155,0,23,0,0,15
QLD,2020-03-02,1,4,420,2575,1,27,0,0,16
QLD,2020-03-03,0,2,508,3083,1,29,0,0,17
QLD,2020-03-04,1,1,546,3629,2,30,0,0,18
QLD,2020-03-05,0,3,596,4225,2,33,0,0,19
QLD,2020-03-06,1,6,910,5135,3,39,0,0,20
QLD,2020-03-07,2,7,1183,6318,5,46,0,0,21
QLD,2020-03-08,1,13,1411,7729,6,59,0,0,22
QLD,2020-03-09,3,23,1741,9470,9,82,0,0,23
QLD,2020-03-10,1,18,2203,11673,10,100,1,1,24
QLD,2020-03-11,4,22,2367,14040,14,122,1,0,25
QLD,2020-03-12,10,27,2447,16487,24,149,1,0,26
QLD,2020-03-13,6,31,2675,19162,30,180,1,0,27
QLD,2020-03-14,6,27,2747,21909,36,207,1,0,28
QLD,2020-03-15,9,40,2739,24648,45,247,1,0,29
QLD,2020-03-16,10,42,2583,27231,55,289,1,0,30
QLD,2020-03-17,17,61,2277,29508,72,350,1,0,31
QLD,2020-03-18,12,67,2217,31725,84,417,1,0,32
QLD,2020-03-19,8,87,2206,33931,92,504,1,0,33
QLD,2020-03-20,12,71,1917,35848,104,575,1,0,34
QLD,2020-03-21,10,70,1801,37649,114,645,1,0,35
QLD,2020-03-22,15,65,1804,39453,129,710,2,1,36
QLD,2020-03-23,20,70,1943,41396,149,780,2,0,37
QLD,2020-03-24,10,52,2046,43442,159,832,2,0,38
QLD,2020-03-25,10,37,2091,45533,169,869,2,0,39
QLD,2020-03-26,4,24,2085,47618,173,893,3,1,40
QLD,2020-03-27,11,31,2097,49715,184,924,3,0,41
QLD,2020-03-28,11,31,2068,51783,195,955,3,0,42
QLD,2020-03-29,6,18,2000,53783,201,973,3,0,43
QLD,2020-03-30,4,14,1790,55573,205,987,4,1,44
QLD,2020-03-31,5,14,1631,57204,210,1001,4,0,45
QLD,2020-04-01,3,10,1535,58739,213,1011,4,0,46
QLD,2020-04-02,4,12,1479,60218,217,1023,5,1,47
QLD,2020-04-03,1,2,1375,61593,218,1025,5,0,48
QLD,2020-04-04,5,7,1495,63088,223,1032,5,0,49
QLD,2020-04-05,1,4,1656,64744,224,1036,5,0,50
QLD,2020-04-06,1,1,1822,66566,225,1037,5,0,51
QLD,2020-04-07,0,1,1720,68286,225,1038,5,0,52
QLD,2020-04-08,1,4,1753,70039,226,1042,5,0,53
QLD,2020-04-09,4,7,1789,71828,230,1049,5,0,54
QLD,2020-04-10,1,1,1678,73506,231,1050,5,0,55
QLD,2020-04-11,2,2,1650,75156,233,1052,5,0,56
QLD,2020-04-12,0,0,1589,76745,233,1052,5,0,57
QLD,2020-04-13,0,3,1587,78332,233,1055,5,0,58
QLD,2020-04-14,1,2,1910,80242,234,1057,5,0,59
QLD,2020-04-15,2,2,1974,82216,236,1059,5,0,60
QLD,2020-04-16,0,0,2007,84223,236,1059,5,0,61
