location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,48,48,0,9,0,0,0
QLD,2020-02-16,0,1,42,90,0,10,0,0,1
QLD,2020-02-17,0,0,69,159,0,10,0,0,2
QLD,2020-02-18,0,0,85,244,0,10,0,0,3
QLD,2020-02-19,0,1,95,339,0,11,0,0,4
QLD,2020-02-20,0,2,93,432,0,13,0,0,5
QLD,2020-02-21,0,2,84,516,0,15,0,0,6
QLD,2020-02-22,0,1,62,578,0,16,0,0,7
QLD,2020-02-23,0,1,76,654,0,17,0,0,8
QLD,2020-02-24,0,0,116,770,0,17,0,0,9
QLD,2020-02-25,0,1,175,945,0,18,0,0,10
QLD,2020-02-26,0,1,190,1135,0,19,0,0,11
QLD,2020-02-27,0,2,198,1333,0,21,0,0,12
QLD,2020-02-28,0,0,165,1498,0,21,0,0,13
QLD,2020-02-29,0,0,143,1641,0,21,0,0,14
QLD,2020-03-01,0,2,254,1895,0,23,0,0,15
QLD,2020-03-02,1,4,407,2302,1,27,0,0,16
QLD,2020-03-03,0,2,585,2887,1,29,0,0,17
QLD,2020-03-04,1,1,664,3551,2,30,0,0,18
QLD,2020-03-05,0,3,741,4292,2,33,0,0,19
QLD,2020-03-06,1,6,647,4939,3,39,0,0,20
QLD,2020-03-07,2,7,551,5490,5,46,0,0,21
QLD,2020-03-08,1,13,1192,6682,6,59,0,0,22
QLD,2020-03-09,3,23,1894,8576,9,82,0,0,23
QLD,2020-03-10,1,18,2488,11064,10,100,1,1,24
QLD,2020-03-11,4,22,2604,13668,14,122,1,0,25
QLD,2020-03-12,10,27,3120,16788,24,149,1,0,26
QLD,2020-03-13,6,31,2878,19666,30,180,1,0,27
QLD,2020-03-14,6,27,2197,21863,36,207,1,0,28
QLD,2020-03-15,9,40,2294,24157,45,247,1,0,29
QLD,2020-03-16,10,42,2780,26937,55,289,1,0,30
QLD,2020-03-17,17,61,3171,30108,72,350,1,0,31
QLD,2020-03-18,12,67,2389,32497,84,417,1,0,32
QLD,2020-03-19,8,87,2024,34521,92,504,1,0,33
QLD,2020-03-20,12,71,1661,36182,104,575,1,0,34
QLD,2020-03-21,10,70,1316,37498,114,645,1,0,35
QLD,2020-03-22,15,65,1453,38951,129,710,2,1,36
QLD,2020-03-23,20,70,1808,40759,149,780,2,0,37
QLD,2020-03-24,10,52,2235,42994,159,832,2,0,38
QLD,2020-03-25,10,37,2448,45442,169,869,2,0,39
QLD,2020-03-26,4,24,2596,48038,173,893,3,1,40
QLD,2020-03-27,11,31,2329,50367,184,924,3,0,41
QLD,2020-03-28,11,31,1648,52015,195,955,3,0,42
QLD,2020-03-29,6,18,1572,53587,201,973,3,0,43
QLD,2020-03-30,4,14,1755,55342,205,987,4,1,44
QLD,2020-03-31,5,14,2038,57380,210,1001,4,0,45
QLD,2020-04-01,3,10,1732,59112,213,1011,4,0,46
QLD,2020-04-02,4,12,1576,60688,217,1023,5,1,47
QLD,2020-04-03,1,2,1243,61931,218,1025,5,0,48
QLD,2020-04-04,5,7,922,62853,223,1032,5,0,49
QLD,2020-04-05,1,4,973,63826,224,1036,5,0,50
QLD,2020-04-06,1,1,1661,65487,225,1037,5,0,51
QLD,2020-04-07,0,1,2452,67939,225,1038,5,0,52
QLD,2020-04-08,1,4,2776,70715,226,1042,5,0,53
QLD,2020-04-09,4,7,2101,72816,230,1049,5,0,54
QLD,2020-04-10,1,1,1469,74285,231,1050,5,0,55
QLD,2020-04-11,2,2,845,75130,233,1052,5,0,56
QLD,2020-04-12,0,0,875,76005,233,1052,5,0,57
QLD,2020-04-13,0,3,1422,77427,233,1055,5,0,58
QLD,2020-04-14,1,2,1985,79412,234,1057,5,0,59
QLD,2020-04-15,2,2,2563,81975,236,1059,5,0,60
QLD,2020-04-16,0,0,2707,84682,236,1059,5,0,61
QLD,2020-04-17,1,1,2367,87049,237,1060,5,0,62
QLD,2020-04-18,0,0,1826,88875,237,1060,5,0,63
QLD,2020-04-19,0,0,1694,90569,237,1060,5,0,64
QLD,2020-04-20,1,1,1982,92551,238,1061,5,0,65
QLD,2020-04-21,0,0,2488,95039,238,1061,5,0,66
QLD,2020-04-22,0,0,2291,97330,238,1061,5,0,67
QLD,2020-04-23,0,1,2204,99534,238,1062,5,0,68
QLD,2020-04-24,0,0,1733,101267,238,1062,5,0,69
QLD,2020-04-25,0,0,1391,102658,238,1062,5,0,70
QLD,2020-04-26,0,1,1805,104463,238,1063,5,0,71
QLD,2020-04-27,0,0,2524,106987,238,1063,5,0,72
QLD,2020-04-28,0,1,3178,110165,238,1064,5,0,73
QLD,2020-04-29,1,1,3027,113192,239,1065,5,0,74
QLD,2020-04-30,0,1,2785,115977,239,1066,5,0,75
QLD,2020-05-01,0,0,2212,118189,239,1066,5,0,76
QLD,2020-05-02,1,3,1639,119828,240,1069,5,0,77
QLD,2020-05-03,0,0,1278,121106,240,1069,5,0,78
QLD,2020-05-04,0,0,2550,123656,240,1069,5,0,79
QLD,2020-05-05,0,1,3723,127379,240,1070,5,0,80
QLD,2020-05-06,0,0,4512,131891,240,1070,5,0,81
QLD,2020-05-07,0,0,3916,135807,240,1070,5,0,82
QLD,2020-05-08,0,0,2834,138641,240,1070,5,0,83
QLD,2020-05-09,0,0,1836,140477,240,1070,5,0,84
QLD,2020-05-10,0,0,1978,142455,240,1070,5,0,85
QLD,2020-05-11,0,0,2641,145096,240,1070,5,0,86
QLD,2020-05-12,0,0,3572,148668,240,1070,5,0,87
QLD,2020-05-13,0,1,3365,152033,240,1071,5,0,88
QLD,2020-05-14,0,2,3376,155409,240,1073,5,0,89
QLD,2020-05-15,0,0,2856,158265,240,1073,5,0,90
