location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,37,37,0,9,0,0,0
QLD,2020-02-16,0,1,40,77,0,10,0,0,1
QLD,2020-02-17,0,0,49,126,0,10,0,0,2
QLD,2020-02-18,0,0,60,186,0,10,0,0,3
QLD,2020-02-19,0,1,75,261,0,11,0,0,4
QLD,2020-02-20,0,2,88,349,0,13,0,0,5
QLD,2020-02-21,0,2,100,449,0,15,0,0,6
QLD,2020-02-22,0,1,108,557,0,16,0,0,7
QLD,2020-02-23,0,1,114,671,0,17,0,0,8
QLD,2020-02-24,0,0,147,818,0,17,0,0,9
QLD,2020-02-25,0,1,181,999,0,18,0,0,10
QLD,2020-02-26,0,1,217,1216,0,19,0,0,11
QLD,2020-02-27,0,2,263,1479,0,21,0,0,12
QLD,2020-02-28,0,0,310,1789,0,21,0,0,13
QLD,2020-02-29,0,0,328,2117,0,21,0,0,14
QLD,2020-03-01,0,2,357,2474,0,23,0,0,15
QLD,2020-03-02,1,4,536,3010,1,27,0,0,16
QLD,2020-03-03,0,2,692,3702,1,29,0,0,17
QLD,2020-03-04,1,1,831,4533,2,30,0,0,18
QLD,2020-03-05,0,3,1022,5555,2,33,0,0,19
QLD,2020-03-06,1,6,1278,6833,3,39,0,0,20
QLD,2020-03-07,2,7,1367,8200,5,46,0,0,21
QLD,2020-03-08,1,13,1428,9628,6,59,0,0,22
QLD,2020-03-09,3,23,1708,11336,9,82,0,0,23
QLD,2020-03-10,1,18,1872,13208,10,100,1,1,24
QLD,2020-03-11,4,22,1981,15189,14,122,1,0,25
QLD,2020-03-12,10,27,2069,17258,24,149,1,0,26
QLD,2020-03-13,6,31,2144,19402,30,180,1,0,27
QLD,2020-03-14,6,27,2165,21567,36,207,1,0,28
QLD,2020-03-15,9,40,2203,23770,45,247,1,0,29
QLD,2020-03-16,10,42,2325,26095,55,289,1,0,30
QLD,2020-03-17,17,61,2288,28383,72,350,1,0,31
QLD,2020-03-18,12,67,2271,30654,84,417,1,0,32
QLD,2020-03-19,8,87,2317,32971,92,504,1,0,33
QLD,2020-03-20,12,71,2286,35257,104,575,1,0,34
QLD,2020-03-21,10,70,2113,37370,114,645,1,0,35
QLD,2020-03-22,15,65,2071,39441,129,710,2,1,36
QLD,2020-03-23,20,70,2161,41602,149,780,2,0,37
QLD,2020-03-24,10,52,2005,43607,159,832,2,0,38
QLD,2020-03-25,10,37,1922,45529,169,869,2,0,39
QLD,2020-03-26,4,24,1874,47403,173,893,3,1,40
QLD,2020-03-27,11,31,1842,49245,184,924,3,0,41
QLD,2020-03-28,11,31,1766,51011,195,955,3,0,42
QLD,2020-03-29,6,18,1726,52737,201,973,3,0,43
QLD,2020-03-30,4,14,1774,54511,205,987,4,1,44
QLD,2020-03-31,5,14,1808,56319,210,1001,4,0,45
QLD,2020-04-01,3,10,1855,58174,213,1011,4,0,46
QLD,2020-04-02,4,12,1882,60056,217,1023,5,1,47
QLD,2020-04-03,1,2,1738,61794,218,1025,5,0,48
QLD,2020-04-04,5,7,1629,63423,223,1032,5,0,49
QLD,2020-04-05,1,4,1585,65008,224,1036,5,0,50
QLD,2020-04-06,1,1,1584,66592,225,1037,5,0,51
QLD,2020-04-07,0,1,1599,68191,225,1038,5,0,52
QLD,2020-04-08,1,4,1631,69822,226,1042,5,0,53
QLD,2020-04-09,4,7,1689,71511,230,1049,5,0,54
