location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
GP,2020-06-30,42881,216,452876,3040,36,9000,400
GP,2020-07-01,45944,244,461876,3063,28,9000,400
GP,2020-07-02,49937,282,470876,3993,38,9000,400
GP,2020-07-03,54331,282,479876,4394,0,9000,400
GP,2020-07-04,59373,282,491876,5042,0,12000,400
GP,2020-07-05,63404,353,503876,4031,71,12000,400
GP,2020-07-06,66891,403,515876,3487,50,12000,400
GP,2020-07-07,71488,478,527876,4597,75,12000,400
GP,2020-07-08,75015,478,539876,3527,0,12000,400
GP,2020-07-09,81546,515,551876,6531,37,12000,400
GP,2020-07-10,87033,554,563876,5487,39,12000,400
GP,2020-07-11,93044,580,575876,6011,26,12000,400
GP,2020-07-12,98431,644,587876,5387,64,12000,400
GP,2020-07-13,103713,644,599876,5282,0,12000,400
