iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests
USA,North America,Minesota,30-May-2020,23531,584,996,29,20,,,,243652,9906
USA,North America,Minesota,31-May-2020,24190,659,1026,30,20,,,,254038,10386
USA,North America,Minesota,01-June-2020,24850,660,1040,14,20,,,,262479,8441
USA,North America,Minesota,02-June-2020,25208,358,1050,10,20,,,,269369,6890
USA,North America,Minesota,03-June-2020,25508,300,1072,22,20,,,,273553,4184
USA,North America,Minesota,04-June-2020,25870,362,1086,14,20,,,,281238,7685
USA,North America,Minesota,05-June-2020,26273,403,1115,29,20,,,,297165,15927
USA,North America,Minesota,06-June-2020,26980,707,1148,33,20,,,,308171,11006
USA,North America,Minesota,07-June-2020,27501,521,1170,22,20,,,,319315,11144
USA,North America,Minesota,08-June-2020,27886,385,1186,16,20,,,,330034,10719
USA,North America,Minesota,09-June-2020,28224,338,1197,11,20,,,,340057,10023
USA,North America,Minesota,10-June-2020,28523,299,1217,20,20,,,,347836,7779
USA,North America,Minesota,11-June-2020,28869,346,1236,19,20,,,,356695,8859
USA,North America,Minesota,12-June-2020,29316,447,1249,13,20,,,,368766,12071
USA,North America,Minesota,13-June-2020,29795,479,1274,25,20,,,,382157,13391
USA,North America,Minesota,14-June-2020,30172,377,1283,9,20,,,,394941,12784
USA,North America,Minesota,15-June-2020,30471,299,1298,15,20,,,,404599,9658
USA,North America,Minesota,16-June-2020,30693,222,1304,6,20,,,,409630,5031
USA,North America,Arizona,03-March-2020,1,1,0,0,100,,,,3.911497047,3.911497047
USA,North America,Arizona,04-March-2020,1,0,0,0,100,,,,8.640421324,4.728924277
USA,North America,Arizona,05-March-2020,1,0,0,0,100,,,,14.3162326,5.675811273
USA,North America,Arizona,06-March-2020,2,1,0,0,100,,,,21.07440575,6.758173156
USA,North America,Arizona,07-March-2020,4,2,0,0,100,,,,29.07000589,7.995600142
USA,North America,Arizona,08-March-2020,4,0,0,0,100,,,,38.48407916,9.414073261
USA,North America,Arizona,09-March-2020,4,0,0,0,100,,,,49.52074845,11.0366693
USA,North America,Arizona,10-March-2020,5,1,0,0,100,,,,62.40469987,12.88395142
USA,North America,Arizona,11-March-2020,8,3,0,0,100,,,,77.3937,14.98900013
USA,North America,Arizona,12-March-2020,8,0,0,0,100,,,,94.81268486,17.41898486
USA,North America,Arizona,13-March-2020,8,0,0,0,100,,,,115.1012662,20.28858133
USA,North America,Arizona,14-March-2020,11,3,0,0,100,,,,138.8649734,23.76370717
USA,North America,Arizona,15-March-2020,12,1,0,0,100,,,,166.9512523,28.08627889
USA,North America,Arizona,16-March-2020,17,5,0,0,100,,,,200.6377939,33.68654168
USA,North America,Arizona,17-March-2020,19,2,0,0,100,,,,242.1016136,41.46381969
USA,North America,Arizona,18-March-2020,26,7,0,0,100,,,,295.4228207,53.32120705
USA,North America,Arizona,19-March-2020,44,18,0,0,100,,,,368.521529,73.09870832
USA,North America,Arizona,20-March-2020,77,33,0,0,100,,,,476.7089676,108.1874386
USA,North America,Arizona,21-March-2020,117,40,1,1,100,,,,648.6280809,171.9191133
USA,North America,Arizona,22-March-2020,151,34,2,1,100,,,,933.9881659,285.3600851
USA,North America,Arizona,23-March-2020,234,83,2,0,100,,,,1407.815972,473.827806
USA,North America,Arizona,24-March-2020,325,91,5,3,100,,,,2160.347075,752.5311029
USA,North America,Arizona,25-March-2020,400,75,6,1,100,,,,3266.586586,1106.239511
USA,North America,Arizona,26-March-2020,507,107,8,2,100,,,,4750.556879,1483.970293
USA,North America,Arizona,27-March-2020,664,157,13,5,100,,,,6571.521075,1820.964196
USA,North America,Arizona,28-March-2020,772,108,15,2,100,,,,8640.977377,2069.456302
USA,North America,Arizona,29-March-2020,918,146,17,2,100,,,,10853.99291,2213.015537
USA,North America,Arizona,30-March-2020,1156,238,20,3,100,,,,13115.88387,2261.890961
USA,North America,Arizona,31-March-2020,1288,132,24,4,100,,,,15356.52562,2240.641749
USA,North America,Arizona,01-April-2020,1529,241,29,5,100,,,,17533.30311,2176.777486
USA,North America,Arizona,02-April-2020,1714,185,32,3,100,,,,19626.73084,2093.427726
USA,North America,Arizona,03-April-2020,1936,222,41,9,100,,,,21633.14221,2006.411371
USA,North America,Arizona,04-April-2020,2186,250,52,11,100,,,,23557.65932,1924.517117
USA,North America,Arizona,05-April-2020,2485,299,64,12,100,,,,25409.002,1851.342675
USA,North America,Arizona,06-April-2020,2731,246,65,1,100,,,,27196.39789,1787.395885
USA,North America,Arizona,07-April-2020,2869,138,73,8,100,,,,28928.28287,1731.884981
USA,North America,Arizona,08-April-2020,3035,166,80,7,100,,,,30612.27374,1683.990877
USA,North America,Arizona,09-April-2020,3035,0,89,9,100,,,,32255.78684,1643.513096
USA,North America,Arizona,10-April-2020,3129,94,97,8,100,,,,33866.64517,1610.858329
USA,North America,Arizona,11-April-2020,3410,281,108,11,100,,,,35453.20413,1586.558964
USA,North America,Arizona,12-April-2020,3559,149,115,7,100,,,,37023.90688,1570.702748
USA,North America,Arizona,13-April-2020,3722,163,122,7,100,,,,38586.54921,1562.642334
USA,North America,Arizona,14-April-2020,3826,104,131,9,100,,,,40147.68243,1561.133221
USA,North America,Arizona,15-April-2020,3981,155,142,11,100,,,,41712.45177,1564.769332
USA,North America,Arizona,16-April-2020,4254,273,150,8,100,,,,43284.88132,1572.42955
USA,North America,Arizona,17-April-2020,4528,274,169,19,100,,,,44868.37315,1583.491832
USA,North America,Arizona,18-April-2020,4741,213,180,11,100,,,,46466.16027,1597.787123
USA,North America,Arizona,19-April-2020,4950,209,184,4,100,,,,48081.64427,1615.484
USA,North America,Arizona,20-April-2020,5085,135,191,7,100,,,,49718.80207,1637.157798
USA,North America,Arizona,21-April-2020,5273,188,208,17,100,,,,51382.93027,1664.128201
USA,North America,Arizona,22-April-2020,5490,217,231,23,100,,,,53081.79542,1698.865154
USA,North America,Arizona,23-April-2020,5789,299,249,18,100,,,,54826.86551,1745.07009
USA,North America,Arizona,24-April-2020,6062,273,266,17,100,,,,56634.01165,1807.146134
USA,North America,Arizona,25-April-2020,6303,241,273,7,100,,,,58523.13214,1889.120496
USA,North America,Arizona,26-April-2020,6551,248,275,2,100,,,,60516.59737,1993.465229
USA,North America,Arizona,27-April-2020,6742,191,275,0,100,,,,62637.00473,2120.407357
USA,North America,Arizona,28-April-2020,6972,230,275,0,100,,,,64905.17946,2268.17473
USA,North America,Arizona,29-April-2020,7226,254,308,33,100,,,,67339.33196,2434.152502
USA,North America,Arizona,30-April-2020,7672,446,320,12,100,,,,69955.67604,2616.344081
USA,North America,Arizona,01-May-2020,7986,314,330,10,100,,,,72769.89115,2814.215104
USA,North America,Arizona,02-May-2020,8381,395,330,0,100,,,,75798.23157,3028.340419
USA,North America,Arizona,03-May-2020,8657,276,362,32,100,,,,79057.26437,3259.032806
USA,North America,Arizona,04-May-2020,8941,284,362,0,100,,,,82561.97221,3504.707837
USA,North America,Arizona,05-May-2020,9322,381,395,33,100,,,,86322.73864,3760.766433
USA,North America,Arizona,06-May-2020,9724,402,426,31,100,,,,90342.17259,4019.433952
USA,North America,Arizona,07-May-2020,9962,238,450,24,100,,,,94612.83981,4270.667213
USA,North America,Arizona,08-May-2020,10543,581,517,67,100,,,,99116.82539,4503.985582
USA,North America,Arizona,09-May-2020,10977,434,532,15,100,,,,103827.5906,4710.76519
USA,North America,Arizona,10-May-2020,11136,159,536,4,100,,,,108713.6407,4886.050084
USA,North America,Arizona,11-May-2020,11400,264,542,6,100,,,,113742.4279,5028.787269
USA,North America,Arizona,12-May-2020,11753,353,562,20,100,,,,118882.4804,5140.052469
USA,North America,Arizona,13-May-2020,12233,480,595,33,100,,,,124102.6608,5220.180449
USA,North America,Arizona,14-May-2020,12691,458,624,29,100,,,,129369.3544,5266.693513
USA,North America,Arizona,15-May-2020,13186,495,651,27,100,,,,134644.0305,5274.67618
USA,North America,Arizona,16-May-2020,13683,497,679,28,100,,,,139883.8394,5239.808852
USA,North America,Arizona,17-May-2020,13962,279,680,1,100,,,,145046.4231,5162.583719
USA,North America,Arizona,18-May-2020,14225,263,687,7,100,,,,150097.9159,5051.492737
USA,North America,Arizona,19-May-2020,14593,368,705,18,100,,,,155021.4986,4923.58279
USA,North America,Arizona,20-May-2020,14923,330,747,42,100,,,,159823.7079,4802.209271
USA,North America,Arizona,21-May-2020,15365,442,764,17,100,,,,164536.6093,4712.901359
USA,North America,Arizona,22-May-2020,15641,276,775,11,100,,,,169215.3047,4678.695386
USA,North America,Arizona,23-May-2020,16070,429,801,26,100,,,,173931.317,4716.01233
USA,North America,Arizona,24-May-2020,16394,324,801,0,100,,,,178763.0388,4831.721849
USA,North America,Arizona,25-May-2020,16592,198,807,6,100,,,,183784.6281,5021.589239
USA,North America,Arizona,26-May-2020,16881,289,810,3,100,,,,189055.0316,5270.403517
USA,North America,Arizona,27-May-2020,17335,454,834,24,100,,,,194609.2579,5554.226353
USA,North America,Arizona,28-May-2020,17894,559,860,26,100,,,,200454.3504,5845.092488
USA,North America,Arizona,29-May-2020,18489,595,886,26,100,,,,206571.8919,6117.541471
USA,North America,Arizona,30-May-2020,19275,786,904,18,100,,,,212927.0785,6355.186612
USA,North America,Arizona,31-May-2020,19953,678,907,3,100,,,,219481.6918,6554.613242
USA,North America,Arizona,01-June-2020,20146,193,918,11,100,,,,226206.1276,6724.435837
USA,North America,Arizona,02-June-2020,21281,1135,943,25,100,,,,233085.5048,6879.377244
USA,North America,Arizona,03-June-2020,22373,1092,983,40,100,,,,240018.6268,6933.121952
USA,North America,Arizona,04-June-2020,22903,530,999,16,100,,,,247005.4935,6986.86666
USA,North America,Arizona,05-June-2020,24456,1553,1015,16,100,,,,254046.1048,7040.611368
USA,North America,Arizona,06-June-2020,25468,1012,1043,28,100,,,,261140.4609,7094.356076
USA,North America,Arizona,07-June-2020,27006,1538,1051,8,100,,,,268288.5617,7148.100784
USA,North America,Arizona,08-June-2020,27695,689,1053,2,100,,,,275490.4072,7201.845492
USA,North America,Arizona,09-June-2020,28313,618,1076,23,100,,,,282745.9974,7255.5902
USA,North America,Arizona,10-June-2020,29869,1556,1101,25,100,,,,290055.3323,7309.334907
USA,North America,Arizona,11-June-2020,31284,1415,1135,34,100,,,,297418.4119,7363.079615
USA,North America,Arizona,12-June-2020,33056,1772,1156,21,100,,,,304835.2362,7416.824323
USA,North America,Arizona,13-June-2020,34677,1621,1189,33,100,,,,312305.8052,7470.569031
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
