location,date,cum_infections,cum_deaths,cum_tests,new_diagnoses,new_deaths,new_tests,imported_cases
KZN,2020-06-29,9041,115,206587,608,6,3500,0
KZN,2020-06-30,9674,126,210087,633,11,3500,0
KZN,2020-07-01,10632,136,213587,958,10,3500,0
KZN,2020-07-02,11669,152,218587,1037,16,5000,0
KZN,2020-07-03,12757,162,223587,1088,10,5000,0
KZN,2020-07-04,13984,162,228587,1227,0,5000,0
KZN,2020-07-05,15146,183,233587,1162,21,5000,0
KZN,2020-07-06,15819,183,238587,673,0,5000,0
KZN,2020-07-07,16743,205,243587,924,22,5000,0
KZN,2020-07-08,17962,223,248587,1219,18,5000,0
KZN,2020-07-09,19630,249,253587,1668,26,5000,0
KZN,2020-07-10,21386,260,258587,1756,11,5000,0
KZN,2020-07-11,23753,273,263587,2367,13,5000,0
KZN,2020-07-12,25572,280,268587,1819,7,5000,0
KZN,2020-07-13,27387,286,273587,1815,6,5000,0
